prompt,model,model_family,base_or_instruct,model_output,yes_prob,no_prob,odds_ratio
"Is a ""mountain"" a form of ""hill""?",databricks/dolly-v2-7b,dolly,instruct,"Answer: No.

Is a ""cow"" a ""herd animal""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is a ""cowboy"" a ""r",0.3039456307888031,0.6957384347915649,0.4368676726618699
"Is ""walking"" a form of ""exercise""?",databricks/dolly-v2-7b,dolly,instruct,"Answer: No.

Is ""walking"" a ""sport""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""walking"" a ""pastime""? Answer either",0.1966499537229538,0.8024545311927795,0.24506055617961378
"Is a ""candle"" a ""lamp""?",databricks/dolly-v2-7b,dolly,instruct,"Answer: No.

Is a ""coffee"" a ""beverage""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is a ""coffee shop"" a ""place",0.10373321175575256,0.8961181640625,0.11575840766968055
"Is a ""trail"" a ""road""?",databricks/dolly-v2-7b,dolly,instruct,"Answer: No.

Is a ""tweet"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is a ""tweet"" a ""publication""?",0.4841916859149933,0.5154193639755249,0.9394130677984879
"Is ""repainting"" a house ""repairing"" it?",databricks/dolly-v2-7b,dolly,instruct,"Answer: No.

Is ""repainting"" a house ""painting"" it? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""repainting"" a house",0.16879361867904663,0.8308312892913818,0.2031623277248154
"Is ""kneeling"" a form of ""sitting""?",databricks/dolly-v2-7b,dolly,instruct,"Answer: Yes.

Is ""kneeling"" a ""form of sitting""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""kneeling"" a ""form of",0.5190577507019043,0.4800499379634857,1.0812578226838259
"Is a ""mask"" a form of ""clothing""?",databricks/dolly-v2-7b,dolly,instruct,"Answer: No.

Is a ""masked ball"" a form of ""social event""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is a ""masked car"" a",0.1275940239429474,0.8719469904899597,0.14633231760023674
"Is a ""screenshot"" a ""photograph""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is a ""video"" a ""video file""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is a ""video"" a ""video file""? Answer",0.4578254520893097,0.51878422498703,0.8824968648589029
"Is ""advising"" someone ""instructing"" them?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is ""soup"" a ""beverage""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is ""tweet"" a ""publication""?",0.46066945791244507,0.5220068693161011,0.8824969267473123
"Is an ""algorithm"" a ""procedure""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is a ""computer"" a ""device""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is a ""computer"" a ""computer""? Answer either '",0.48426270484924316,0.48426270484924316,1.0
"Is a ""drone"" an ""aircraft""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is a ""tank"" a ""vehicle""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is a ""tank"" a ""vehicle""? Answer",0.2867635190486908,0.6879099011421204,0.4168620317465764
"Is ""reading aloud"" a form of ""performance""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is ""reading aloud"" a ""form of public speaking""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is ""reading aloud"" a ""form of",0.334464430809021,0.6248617768287659,0.5352614661540996
"Is ""training"" an AI model ""authoring"" content?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is ""training"" an AI model ""training"" content? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is ""training"" an AI model ""training",0.3951835632324219,0.5749886631965637,0.6872893128630707
"Is a ""wedding"" a ""party""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is a ""tank"" a ""tank""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is a ""tank"" a ""tank",0.28710973262786865,0.6887404322624207,0.416862026939164
"Is ""streaming"" a video ""broadcasting"" that video?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is ""tweeting"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is ""tweeting"" a ""publication",0.4502304792404175,0.5101779699325562,0.8824969045604546
"Is ""braiding"" hair a form of ""weaving""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is ""soup"" a ""beverage""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is ""braiding"" hair a form of """,0.33222267031669617,0.620673656463623,0.5352614322469917
"Is ""digging"" a form of ""construction""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is ""picking"" a ""job""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is ""picking"" a ""job""? Answer either '",0.36504483222961426,0.6018571853637695,0.6065306539606682
"Is a ""smartphone"" a ""computer""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is a ""telephone"" a ""wireless""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is a ""telephone"" a ""wireless",0.3355567753314972,0.6269025206565857,0.5352614868736724
"Is a ""cactus"" a ""tree""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is a ""cow"" a ""sheep""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is a ""cow"" a ""sheep",0.33950844407081604,0.6342852711677551,0.5352614344106742
"Is a ""bonus"" a form of ""wages""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is a ""pizza"" a ""food""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is a ""pizza"" a ""food""? Answer",0.3338168263435364,0.623651921749115,0.5352614410411862
"Is ""forwarding"" an email ""sending"" that email?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is ""sending"" a ""mail""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is ""sending"" a ""telephone""? Answer either",0.4584870934486389,0.5195339322090149,0.8824969169947958
"Is a ""chatbot"" a ""service""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is a ""chatbot"" a ""service""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is a ""chatbot"" a ""service""? Answer",0.3387054204940796,0.6327850222587585,0.5352614372651445
"Is ""plagiarism"" a form of ""theft""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is ""theft"" a ""crime""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is ""theft"" a ""crime""? Answer either '",0.31379103660583496,0.6642956137657166,0.47236656407685185
"Is ""remote viewing"" of an event ""attending"" it?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is ""remote viewing"" of an event ""attending"" it? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is ""remote viewing"" of an",0.3361668884754181,0.6280423998832703,0.5352614545417619
"Is ""whistling"" a form of ""music""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is ""snow"" a ""beverage""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is ""snow"" a ""publication""?",0.38963034749031067,0.5669087767601013,0.6872893196627832
"Is ""caching"" data in computer memory ""storing"" that data?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is ""a"" a ""beverage""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is ""a"" a ""publication""? Answer either",0.45574137568473816,0.5164226293563843,0.8824969119822016
"Is a ""waterway"" a form of ""roadway""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is a ""tank"" a ""tank""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is a ""tank"" a ""tank",0.3618820011615753,0.5966425538063049,0.6065306586882458
"Is a ""deepfake"" a ""portrait""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is a ""tweet"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is a ""tweet"" a ""publication",0.2840059697628021,0.6812949180603027,0.4168620111997727
"Is ""humming"" a form of ""singing""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is ""soup"" a ""beverage""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is ""tweet"" a ""publication""?",0.3874400854110718,0.5637219548225403,0.6872893313744325
"Is ""liking"" a social media post ""endorsing"" it?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is ""tweeting"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is ""tweeting"" a ""publication",0.4245113730430603,0.5450834035873413,0.7788007674591377
"Is ""herding"" animals a form of ""transporting"" them?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is ""soup"" a ""beverage""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is ""soup"" a ""tweet""?",0.25652822852134705,0.6973159909248352,0.36787945760589713
"Is an ""NFT"" a ""security""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is a ""tweet"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is a ""tweet"" a ""publication",0.30931636691093445,0.6548227667808533,0.47236654344129125
"Is ""sleeping"" an ""activity""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is ""snow"" a ""beverage""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is ""snow"" a ""tweet""?",0.4562615752220154,0.5170120596885681,0.8824969682464526
"Is a ""driverless car"" a ""motor vehicle operator""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is a ""truck"" a ""motor vehicle""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is a ""truck"" a ""motor vehicle",0.3110029697418213,0.6583932638168335,0.47236657304006535
"Is a ""subscription fee"" a form of ""purchase""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is a ""tweet"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is a ""tweet"" a ""publication",0.2155391424894333,0.7523055076599121,0.28650480462369565
"Is ""mentoring"" someone a form of ""supervising"" them?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is ""soup"" a ""beverage""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is ""tweet"" a ""publication""?",0.3388220965862274,0.6330029964447021,0.5352614418719047
"Is a ""biometric scan"" a form of ""signature""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is a ""biometric scan"" a ""biometric identification""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is a ""biometric scan"" a",0.2856452763080597,0.6852273941040039,0.4168620209376866
"Is a ""digital wallet"" a ""bank account""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is a ""tweet"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is a ""tweet"" a ""publication",0.39488595724105835,0.5745556354522705,0.6872893291355808
"Is ""dictation"" a form of ""writing""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is ""soup"" a ""beverage""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is ""tweet"" a ""publication""?",0.4515707790851593,0.5116967558860779,0.8824968575444617
"Is a ""virtual tour"" a form of ""inspection""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is a ""tweet"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is a ""tweet"" a ""publication",0.4228740334510803,0.5429810285568237,0.7788007521644487
"Is ""bartering"" a form of ""payment""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is ""bargaining"" a form of ""payment""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is ""bargaining"" a form of",0.28395140171051025,0.6811639666557312,0.4168620414620711
"Is a ""nest"" a form of ""dwelling""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is a ""tent"" a ""dwelling""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is a ""tent"" a ""dwelling",0.28328263759613037,0.6795597672462463,0.4168619910270227
"Is a ""QR code"" a ""document""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is a ""web page"" a ""document""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is a ""web page"" a ""web site""?",0.3411923348903656,0.6374311447143555,0.5352614752504133
"Is a ""tent"" a ""building""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is a ""tent"" a ""building""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is a ""tent"" a ""building""? Answer",0.26354965567588806,0.7164021730422974,0.36787947551399697
"Is a ""whisper"" a form of ""speech""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is a ""tweet"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is a ""tweet"" a ""publication",0.42445108294487,0.5450059771537781,0.7788007851978246
"Is ""hiking"" a form of ""travel""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is ""hiking"" a ""form of travel""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is ""hiking"" a ""form of travel",0.3077867031097412,0.6515844464302063,0.4723665593861124
"Is a ""recipe"" a form of ""instruction""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is a ""tutorial"" a ""course""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is a ""tutorial"" a ""course""? Answer",0.31096965074539185,0.6583227515220642,0.47236655580628134
"Is ""daydreaming"" a form of ""thinking""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is ""soup"" a ""beverage""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is ""tweet"" a ""publication""?",0.45297250151634216,0.5132851004600525,0.8824968835260312
"Is ""gossip"" a form of ""news""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is ""tweeting"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is ""tweeting"" a ""publication",0.33525651693344116,0.6263415813446045,0.5352614722045536
"Is a ""mountain"" a form of ""hill""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is a ""tower"" a ""building""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is a ""tower"" a ""building""? Answer",0.31146594882011414,0.65937340259552,0.4723665643686525
"Is ""walking"" a form of ""exercise""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is ""soup"" a ""beverage""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is ""tweet"" a ""publication""?",0.3934214115142822,0.5724247694015503,0.6872892868098462
"Is a ""candle"" a ""lamp""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is a ""pill"" a ""medicine""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is a ""pill"" a ""pill",0.24145366251468658,0.7437296509742737,0.3246524623542792
"Is a ""trail"" a ""road""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is a ""truck"" a ""vehicle""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is a ""truck"" a ""vehicle""? Answer",0.33961963653564453,0.6344929933547974,0.5352614451106085
"Is ""repainting"" a house ""repairing"" it?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is ""paint"" a ""color""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is ""paint"" a ""color""? Answer either '",0.31385675072669983,0.6644347310066223,0.472366563757444
"Is ""kneeling"" a form of ""sitting""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is ""sitting"" a ""form of walking""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is ""sitting"" a ""form of walking",0.36211979389190674,0.5970346331596375,0.6065306328637752
"Is a ""mask"" a form of ""clothing""?",stabilityai/stablelm-base-alpha-7b,stablelm,base,"No.

Question: Is a ""mask"" a ""mask""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Question: Is a ""mask"" a ""mask""? Answer either '",0.23917187750339508,0.736701250076294,0.32465246594684893
"Is a ""screenshot"" a ""photograph""?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: No.

Is a ""photograph"" a ""photograph""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is a ""photograph"" a ""photograph""?",0.41718101501464844,0.5613784193992615,0.743136894113385
"Is ""advising"" someone ""instructing"" them?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: Yes.

Is ""awarding"" someone ""a prize""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""awarding"" someone ""a trophy""?",0.6732997298240662,0.30347999930381775,2.2185967159898965
"Is an ""algorithm"" a ""procedure""?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: No.

Is a ""computer program"" a ""computer language""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is a ""computer language"" a ""programming language""?",0.31312400102615356,0.6733223795890808,0.4650432103819997
"Is a ""drone"" an ""aircraft""?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: No.

Is a ""tweet"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is a ""drone"" an ""aircraft""?",0.485496461391449,0.49314188957214355,0.9844964941280331
"Is ""reading aloud"" a form of ""performance""?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: No.

Is ""writing"" a form of ""performance""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""writing a story"" a form of ""performance""?",0.4535464644432068,0.5220288038253784,0.8688150177148475
"Is ""training"" an AI model ""authoring"" content?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: Yes.

Is ""training"" an AI model ""training""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""training"" an AI model ""training""? Answer either",0.4964683949947357,0.4811936616897583,1.031743421663824
"Is a ""wedding"" a ""party""?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: Yes.

Is a ""funeral"" a ""ceremony""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is a ""gift"" a ""present""?",0.543610155582428,0.43680307269096375,1.244519989828528
"Is ""streaming"" a video ""broadcasting"" that video?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: Yes.

Is ""a tweet"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""a video"" a ""publication""? Answer either",0.5222346782684326,0.44669100642204285,1.169118407938159
"Is ""braiding"" hair a form of ""weaving""?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: No.

Is ""soup"" a ""form of food""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""braiding"" hair a ""form of weaving",0.3449172377586365,0.634399950504303,0.5436905180784641
"Is ""digging"" a form of ""construction""?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: No.

Is ""snowboarding"" a form of ""skiing""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""snowboarding"" a form of",0.34548264741897583,0.6354398727416992,0.5436905397962201
"Is a ""smartphone"" a ""computer""?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: Yes.

Is a ""computer"" a ""computer program""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is a ""computer program"" a ""computer program""? Answer",0.5986913442611694,0.38055136799812317,1.5732208437735062
"Is a ""cactus"" a ""tree""?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: No.

Is a ""tree"" a ""tree""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is a ""tree"" a ""tree""? Answer either 'Yes",0.3286089301109314,0.6535168886184692,0.5028315806889225
"Is a ""bonus"" a form of ""wages""?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: No.

Is a ""bonus"" a form of ""wages""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is a ""bonus"" a form of",0.439386248588562,0.5383473038673401,0.816176184838544
"Is ""forwarding"" an email ""sending"" that email?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: Yes.

Is ""a tweet"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""a blog"" a ""publication""? Answer either",0.5118217468261719,0.4587940573692322,1.1155805935260046
"Is a ""chatbot"" a ""service""?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: Yes.

Is a ""computer program"" a ""computer language""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is a ""computer program"" a ""computer language""?",0.5606332421302795,0.42318814992904663,1.3247848320523092
"Is ""plagiarism"" a form of ""theft""?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: No.

Is ""sport"" a ""form of entertainment""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""sport"" a ""form of entertainment""?",0.40567365288734436,0.5632220506668091,0.7202730298060237
"Is ""remote viewing"" of an event ""attending"" it?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: No.

Is ""remote viewing"" of an event ""attending"" it? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""remote viewing"" of an event",0.453423410654068,0.5058303475379944,0.8963942413913986
"Is ""whistling"" a form of ""music""?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: No.

Is ""chewing gum"" a form of ""food""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""chewing tobacco"" a form of """,0.344931036233902,0.6344252824783325,0.5436905586209553
"Is ""caching"" data in computer memory ""storing"" that data?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: Yes.

Is ""data"" a ""computer memory""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""computer memory"" a ""computer""? Answer either 'Yes",0.5347273945808411,0.43643179535865784,1.2252255685024147
"Is a ""waterway"" a form of ""roadway""?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: No.

Is a ""city"" a ""town""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is a ""country"" a ""state""? Answer either 'Yes",0.4489252269268036,0.5331118702888489,0.8420844703449736
"Is a ""deepfake"" a ""portrait""?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: No.

Is a ""fake news"" a ""falsehood""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is a ""lie"" a ""falsehood""? Answer",0.37407639622688293,0.6071859002113342,0.6160821522645432
"Is ""humming"" a form of ""singing""?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: No.

Is ""sneezing"" a form of ""coughing""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""chewing"" a form of",0.31097832322120667,0.6687084436416626,0.46504321304465096
"Is ""liking"" a social media post ""endorsing"" it?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: Yes.

Is ""tweeting"" a form of ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""tweeting"" a form of",0.5846603512763977,0.383429616689682,1.5248179217975646
"Is ""herding"" animals a form of ""transporting"" them?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: No.

Is ""soup"" a ""form of food""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""soup"" a ""form of drink""?",0.31804877519607544,0.652593731880188,0.4873610634900599
"Is an ""NFT"" a ""security""?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: Yes.

Is a ""bicycle"" a ""vehicle""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is a ""computer"" a ""machine""? Answer either",0.4907643795013428,0.4831557869911194,1.0157477002554525
"Is ""sleeping"" an ""activity""?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: No.

Is ""soup"" a ""food""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""sleeping"" a ""condition""? Answer either 'Yes",0.40083047747612,0.5741631984710693,0.6981124505079488
"Is a ""driverless car"" a ""motor vehicle operator""?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: No.

Is a ""computer"" a ""software""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is a ""computer program"" a ""computer program""? Answer either",0.4827271103858948,0.4980505108833313,0.9692332400778803
"Is a ""subscription fee"" a form of ""purchase""?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: No.

Is a ""loan"" a form of ""purchase""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is a ""loan"" a form of ""loan",0.43778684735298157,0.5363876223564148,0.8161762671363141
"Is ""mentoring"" someone a form of ""supervising"" them?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: Yes.

Is ""sitting"" or ""standing"" an appropriate way to ""work""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""sitting"" or",0.5786436796188354,0.3976956009864807,1.4549914009194833
"Is a ""biometric scan"" a form of ""signature""?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: No.

Is a ""computer virus"" a form of ""software""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is a ""computer worm"" a form of """,0.39072442054748535,0.586546778678894,0.6661436644960044
"Is a ""digital wallet"" a ""bank account""?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: Yes.

Is a ""mobile phone"" a ""cell phone""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is a ""computer"" a ""desktop computer""? Answer",0.5057322978973389,0.4750915467739105,1.0644944144586304
"Is ""dictation"" a form of ""writing""?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: Yes.

Is ""award"" a form of ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: Yes.

Is ""award"" a form of ""public",0.5065222382545471,0.47583362460136414,1.064494420037871
"Is a ""virtual tour"" a form of ""inspection""?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: No.

Is a ""virtual tour"" a form of ""inspection""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is a ""virtual tour"" a form of",0.42559197545051575,0.5550765991210938,0.7667265673321422
"Is ""bartering"" a form of ""payment""?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: No.

Is ""bicycle"" a form of ""vehicle""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is ""bicycle"" a ""vehicle""?",0.2973041534423828,0.6805360317230225,0.43686761550251807
"Is a ""nest"" a form of ""dwelling""?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: No.

Is a ""nest"" a ""nest""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is a ""nest"" a ""nest""? Answer either 'Yes",0.3597813844680786,0.6216464638710022,0.5787556197580765
"Is a ""QR code"" a ""document""?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: No.

Is a ""smartphone"" a ""computer""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is a ""computer program"" a ""software""? Answer either",0.3598555028438568,0.6217744946479797,0.5787556516733459
"Is a ""tent"" a ""building""?",stabilityai/stablelm-tuned-alpha-7b,stablelm,instruct,"Answer: No.

Is a ""tent"" a ""publication""? Answer either 'Yes' or 'No', without any other text.
Answer: No.

Is a ""tent"" a ""publication""?",0.4855831265449524,0.5009971857070923,0.9692332420183459
